"gene_ID","gene_name","difference","logpval","significant"
"NUDT18","NUDT18",-0.585048762580075,1.44148507066245,NA
"NUDT19","NUDT19",0.0344146330929454,0.972546514863221,NA
"NUDT2","NUDT2",0.0372825191840246,0.970259743472658,NA
"NUDT21","NUDT21",0.725575181042936,0.46809924061385,NA
"NUDT22","NUDT22",0.100376013187758,0.920045812279725,NA
"NUDT3","NUDT3",0.564973559942524,0.572091748203906,NA
"NUDT4","NUDT4",0.93206297960061,0.351303978660482,NA
"NUDT4B","NUDT4B",-0.369957305749165,1.28858569800705,NA
"NUDT5","NUDT5",0.157733735009334,0.874666616547771,NA
"NUDT6","NUDT6",-0.562105673851445,1.42595597716874,NA
"NUDT7","NUDT7",-0.553502015578208,1.4200802992044,NA
"NUDT8","NUDT8",-0.375693077931323,1.29285491544471,NA
"NUDT9","NUDT9",0.103243899278837,0.917769399459871,NA
"NUF2","NUF2",-0.995156473604344,1.68033983240473,NA
"NUFIP1","NUFIP1",-0.395768280568874,1.30772402131704,NA
"NUFIP2","NUFIP2",1.055382081517,0.291250614552223,NA
"NUGGC","NUGGC",-0.682556889676754,1.5051131169678,NA
"NUMA1","NUMA1",1.21024793043525,0.226183771214363,NA
"NUMB","NUMB",0.499012179847711,0.617770803587172,NA
"NUMBL","NUMBL",-0.252373976014935,1.19924798662762,NA
"NUP107","NUP107",0.461729660663687,0.644275198053101,NA
"NUP133","NUP133",0.628067053946257,0.529960014573867,NA
"NUP153","NUP153",0.699764206223227,0.484074571666612,NA
"NUP155","NUP155",0.410107711024268,0.681726936432348,NA
"NUP160","NUP160",0.487540635483396,0.625875253291438,NA
"NUP188","NUP188",0.361353647475929,0.717835094188799,NA
"NUP205","NUP205",0.653878028765966,0.513190390215073,NA
"NUP210","NUP210",0.0975081270966792,0.922322880497525,NA
"NUP210L","NUP210L",-1.12994711988505,1.74150149270184,NA
"NUP214","NUP214",0.418711369297505,0.675427085619093,NA
"NUP35","NUP35",-0.12045121582531,1.09587427767169,NA
"NUP37","NUP37",-0.189280482011201,1.15012700808805,NA
"NUP43","NUP43",0.410107711024268,0.681726936432348,NA
"NUP50","NUP50",0.530558926849578,0.59572446440791,NA
"NUP54","NUP54",0.266713406470328,0.789689830860899,NA
"NUP58","NUP58",0.487540635483396,0.625875253291438,NA
"NUP62","NUP62",0.281052836925723,0.778669874347289,NA
"NUP62CL","NUP62CL",-1.35364223498919,1.82414945449245,NA
"NUP85","NUP85",0.200752026375516,0.840892476565707,NA
"NUP88","NUP88",0.473201205028002,0.636069638139041,NA
"NUP93","NUP93",0.298260153472195,0.765504613891329,NA
"NUP98","NUP98",0.871837371687955,0.383297103718041,NA
"NUPR1","NUPR1",0.530558926849578,0.59572446440791,NA
"NUPR2","NUPR2",-2.29144098677196,1.97806207867526,"+"
"NUS1","NUS1",0.324071128291905,0.745884184667357,NA
"NUSAP1","NUSAP1",-0.157733735009334,1.12533338345223,NA
"NUTF2","NUTF2",0.450258116299372,0.65252433561563,NA
